X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9
475674.582688789,4428709.93611907,-105.28500946,40.00823334,164,40.00823334,-105.28500946,1379537998,2013-09-18 14:59:58,ASU,Just now @ Flatirons elementary #boulderflood isn't over apparently http://t.co/AzE16SWvPg
479526.689563774,4431037.92366271,-105.23995,40.02931,271,40.02931,-105.23995,1379536505,2013-09-18 14:35:05,ASU,@martyconiglio Hi Marty! Is that rain coming to Boulder? #boulderflood
479526.689563774,4431037.92366271,-105.23995,40.02931,333,40.02931,-105.23995,1379535921,2013-09-18 14:25:21,ASU,@CUBoulder volunteers surveying community need! Join us 9/21 to volunteer! http://t.co/rHgr4MosAe #boulderflood http://t.co/jHKXcpnozp
482965.086843068,4428143.56179706,-105.19957579,40.00330904,1450,40.00330904,-105.19957579,1379523388,2013-09-18 10:56:28,ASU,Another work day after the flood... #boulderflood #newstart
479526.689563774,4431037.92366271,-105.23995,40.02931,2509,40.02931,-105.23995,1379508458,2013-09-18 06:47:38,ASU,The Boulder Creek path still closed at Broadway. Flooding and mud. #BoulderFlood http://t.co/cmEhD2HQBc
478473.999118165,4427348.27673443,-105.2521652,39.9960412,2917,39.9960412,-105.2521652,1379484988,2013-09-18 00:16:28,ASU,I should not be awake. #BoulderFlood totally screwed up my sleep patterns.
479526.689563774,4431037.92366271,-105.23995,40.02931,3168,40.02931,-105.23995,1379480012,2013-09-17 22:53:32,ASU,Just drove by the Boulder Theater. Jimmy Cliff is playing there tonight! Really? He's still alive? I was sure he was dead! #Boulderflood
477306.106242397,4428605.57374826,-105.26589022,40.0073385,3362,40.0073385,-105.26589022,1379477463,2013-09-17 22:11:03,ASU,So great to finally see sunshine and blue skies in Boulder. #boulderflood #colorado #CU #nofilter @… http://t.co/XtPzYTa34l
479720.126635841,4425534.62590361,-105.23751103,39.97973151,3666,39.97973151,-105.23751103,1379473707,2013-09-17 21:08:27,ASU,#boulder #colorado #coloradolife #flood #flooding #disaster #coflood #9news #7news #trash #damage… http://t.co/4gzONoHNdV
475831.440986254,4429689.19308696,-105.28320811,40.01706063,3813,40.01706063,-105.28320811,1379471811,2013-09-17 20:36:51,ASU,Beer consumption doubles when you're out of power. #fact #boulderflood @ West End Tavern http://t.co/EcHAS408eI
480343.294953378,4427026.45461605,-105.23025787,39.99318724,4068,39.99318724,-105.23025787,1379468989,2013-09-17 19:49:49,ASU,"Crews working late, pumping out #Boulder sewer lines as people deal with raw sewage backups in their homes. #coflood http://t.co/8i434233mB"
476133.227708487,4429504.25644762,-105.279665,40.015403,4569,40.015403,-105.279665,1379463060,2013-09-17 18:11:00,ASU,"Boulder City council calls flood ""extraordinary.""' Much ""pain, cleanup and ""heartbreak"" to come. #coflood http://t.co/MD7yjHoCyl"
476125.648294992,4429507.44461696,-105.27975393,40.01543151,4596,40.01543151,-105.27975393,1379462819,2013-09-17 18:06:59,ASU,#Boulder changed city council agenda to talk about #coflood recovery. Getting started now. http://t.co/OqY6ZgiGxm
477722.084190729,4431398.19749142,-105.2611124,40.03251022,4658,40.03251022,-105.2611124,1379462170,2013-09-17 17:56:10,ASU,No!! Lance? Joey? JT?! How has it come to this? #BoulderFlood #nofilter @ Elmer's Two Mile Park http://t.co/qyhu21AWYu
478722.87704274,4426055.26875666,-105.24920742,39.98439785,4716,39.98439785,-105.24920742,1379461421,2013-09-17 17:43:41,ASU,"#boulderflood Deep thought #477: So, is the cough from drywall dust called the white lung?"
476136.035349958,4429667.11708238,-105.27963809,40.0168704,4734,40.0168704,-105.27963809,1379461178,2013-09-17 17:39:38,ASU,Crest View Elementary closed through end of month at least. #boulderflood
479526.689563774,4431037.92366271,-105.23995,40.02931,5082,40.02931,-105.23995,1379457856,2013-09-17 16:44:16,ASU,Boulder smells like God spilled his bong. #boulderflood
477944.901071211,4424184.099881,-105.25825588,39.96751914,5581,39.96751914,-105.25825588,1379454013,2013-09-17 15:40:13,ASU,Shanahan Ridge? Really? There cant possibly be any real danger on these trails. Come on! #boulderflood @boulderosmp http://t.co/vxBB4L7Sre
479526.689563774,4431037.92366271,-105.23995,40.02931,6853,40.02931,-105.23995,1379443740,2013-09-17 12:49:00,ASU,@CUBoulder REMINDER: All flood relief VOLUNTEERS should have an updated TETANUS SHOT! #boulderflood http://t.co/3r0ghzXk9y
476060.303448162,4433083.28130845,-105.28065163,40.04764668,7092,40.04764668,-105.28065163,1379441397,2013-09-17 12:09:57,ASU,What's with all the dirt on the streets? I think we could use a little rain to wash that away. #boulderflood
479526.689563774,4431037.92366271,-105.23995,40.02931,7947,40.02931,-105.23995,1379435410,2013-09-17 10:30:10,ASU,@BoulderFlood @downtownboulder VOLUNTEERS: Help needed with debris removal. For more info: http://t.co/1BAcBh7f14 #boulderflood
477922.778075317,4431214.52837462,-105.2587539,40.0308607,7992,40.0308607,-105.2587539,1379435133,2013-09-17 10:25:33,ASU,@AoifesCafe I'll take autumn over floods deemed national natural disaster any day - lol #boulderflood and one of your cappuccino's please!!!
479526.689563774,4431037.92366271,-105.23995,40.02931,8362,40.02931,-105.23995,1379433119,2013-09-17 09:51:59,ASU,"Colorado Flooding Claims Lives, Destroys Homes #COFlood #ColoradoFlood #Boulder #FEMA #SafeguardProperties http://t.co/4E1sb9JZuv"
479526.689563774,4431037.92366271,-105.23995,40.02931,8502,40.02931,-105.23995,1379431971,2013-09-17 09:32:51,ASU,"@CUBoulder Volunteers: relief efforts this week Wed 9/18 &amp; Sat, 9/21! #Boulderflood #boulderfloodrelief @BoulderFlood http://t.co/fGRDv2gtff"
479526.689563774,4431037.92366271,-105.23995,40.02931,8533,40.02931,-105.23995,1379431697,2013-09-17 09:28:17,ASU,The rescuers’ encampment at the Boulder Airport has greatly expanded. #Boulderflood http://t.co/0zQfHtMePB
478440.624677346,4427318.1594058,-105.25255516,39.995769,8554,39.995769,-105.25255516,1379431543,2013-09-17 09:25:43,ASU,@highlyanne #boulderflood damage pic 2 http://t.co/LQvDiT2C7F
478539.867512798,4427266.99385827,-105.25139091,39.99531054,8571,39.99531054,-105.25139091,1379431379,2013-09-17 09:22:59,ASU,@highlyanne #boulderflood damage pic 1 http://t.co/TklgsBfxCQ
478620.29574289,4426301.86183714,-105.250417,39.986617,8626,39.986617,-105.250417,1379430797,2013-09-17 09:13:17,ASU,"#boulderflood #damage repair work on Table Mesa Dr, outside King Soopers http://t.co/qNHpmqGdUX"
478639.767037737,4426425.45118562,-105.250193,39.987731,8635,39.987731,-105.250193,1379430738,2013-09-17 09:12:18,ASU,"Lots of #boulderflood #damage repair happening on Table Mesa Dr, opp King Soopers http://t.co/RU0QDplur1"
